sentiment,text,positive,negative
pos,"even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , scratch is great fun , full of the kind of energy it's documenting .",9,3
pos,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",3,4
neg,suffers from a flat script and a low budget .,3,2
pos,"a witty , low-key romantic comedy .",3,0
pos,"this is a story that zings all the way through with originality , humour and pathos .",3,2
neg,"a strong first quarter , slightly less so second quarter , and average second half .",2,5
neg, . . . too dull to enjoy .,1,1
pos,"its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",8,3
neg,a movie in which two not very absorbing characters are engaged in a romance you can't wait to see end .,4,2
pos,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,2
pos,"personal velocity has a no-frills docu-dogma plainness , yet miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire . she boxes these women's souls right open for us .",7,4
pos,speaks eloquently about the symbiotic relationship between art and life .,3,0
neg,"it kinda works and qualifies as cool at times , but is just too lame to work or be cool at others .",5,1
neg,"not the great american comedy , but if you liked the previous movies in the series , you'll have a good time with this one too .",5,2
neg,"[it's] difficult to get beyond the overall blandness of american chai , despite its likable performances and refreshingly naive point of view .",5,4
neg,the film tries to touch on spousal abuse but veers off course and becomes just another revenge film .,1,3
pos,"chicago pode até ser um filme divertido e cativante ( como é ) , mas acaba representando um passo que vai na direção contrária à evolução dos musicais .",0,0
neg,"suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video .",1,6
pos,an intelligent fiction about learning through cultural clash .,3,2
pos,"this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy .",4,5
pos,the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,2,3
neg,this is really just another genre picture .,1,1
pos,nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,7,4
pos,this version incarnates the prophetic book in a way even its exacting author might admire .,6,0
pos," "" it's all about the image . """,0,0
neg,the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving .,3,2
pos,"slow and ponderous , but rohmer's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption .",6,5
pos,a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe . . . the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,7,6
neg,"its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer .",3,3
pos,"like a veteran head cutter , barbershop is tuned in to its community .",3,1
pos,an average kid-empowerment fantasy with slightly above-average brains .,3,2
neg,basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .,0,4
neg,strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .,4,6
neg,the material and the production itself are little more than routine .,2,0
neg,the piano teacher is the sort of movie that discourages american audiences from ever wanting to see another foreign film .,0,2
neg,"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",6,2
neg,"true to its animatronic roots : . . . as stiff , ponderous and charmless as a mechanical apparatus . . . 'the country bears' should never have been brought out of hibernation .",5,6
neg,"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny .",2,4
pos,"there are no special effects , and no hollywood endings .",1,3
pos,"a sharp , amusing study of the cult of celebrity .",3,1
pos,a very funny look at how another culture handles the process of courting and marriage .,6,0
neg,"leaves you with a knot in your stomach , its power is undercut by its own head-banging obviousness .",3,2
pos,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,4,4
pos,"a conventional , but well-crafted film about a historic legal battle in ireland over a man's right to raise his own children .",4,2
neg,"amidst the action , the script carries arnold ( and the viewers ) into the forbidden zone of sympathizing with terrorist motivations by presenting the "" other side of the story . """,7,3
pos,"an exceedingly clever piece of cinema . another great what you don't see' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performance",8,6
pos,"once folks started hanging out at the barbershop , they never wanted to leave . chances are you won't , either .",3,1
pos,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip .",3,2
neg,"all in all , there's only one thing to root for : expulsion for everyone .",1,2
pos,"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",5,3
neg,"be forewarned , if you're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards .",0,4
pos,will warm your heart without making you feel guilty about it .,3,3
neg,works better in the conception than it does in the execution . . . winds up seeming just a little too clever .,4,2
pos,australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,6,2
neg,"call me a cold-hearted curmudgeon for not being able to enjoy a mindless action movie , but i believe a movie can be mindless without being the peak of all things insipid .",5,4
pos,robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .,7,2
pos,"tense , terrific , sweaty-palmed fun .",2,1
neg,"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",6,5
pos,"highly recommended viewing for its courage , ideas , technical proficiency and great acting .",7,0
pos,"you'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",6,8
pos,cusack's just brilliant in this .,1,0
neg," . . . an hour-and-a-half of inoffensive , unmemorable filler .",1,2
neg,[sam's] self-flagellation is more depressing than entertaining .,1,1
neg,"all very stylish and beautifully photographed , but far more trouble than it's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .",9,3
neg,an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product .,3,4
pos,"what could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .",5,4
pos, . . . a polished and relatively sincere piece of escapism .,3,0
pos,greengrass ( working from don mullan's script ) forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,8,5
neg,"all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast .",4,3
pos,"maud and roland's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy .",4,4
neg,"the doofus-on- the-loose banter of welcome to collinwood has a cocky , after-hours loopiness to it . and as with most late-night bull sessions , eventually the content isn't nearly as captivating as the rowdy participants think it is .",7,3
neg,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end .",8,6
neg,"during the tuxedo's 90 minutes of screen time , there isn't one true 'chan moment' .",1,0
neg,"hampered -- no , paralyzed -- by a self-indulgent script . . . that aims for poetry and ends up sounding like satire .",4,1
pos,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .",4,4
neg,an extremely unpleasant film .,0,1
pos,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",8,2
neg,two hours of junk .,0,1
pos,"it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout .",5,6
neg,"a mess . the screenplay does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen .",7,6
pos,"it's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",4,3
neg,a movie in which laughter and self-exploitation merge into jolly soft-porn 'empowerment . ,2,0
neg,couldn't someone take rob schneider and have him switch bodies with a funny person ?,3,3
pos,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",6,7
pos,"weird , vulgar comedy that's definitely an acquired taste .",4,2
pos,"compared to his series of spectacular belly flops both on and off the screen , runteldat is something of a triumph .",5,1
neg,"the actresses may have worked up a back story for the women they portray so convincingly , but viewers don't get enough of that background for the characters to be involving as individuals rather than types .",6,3
pos,the vistas are sweeping and the acting is far from painful .,2,2
neg,"though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that's potentially moving , the movie is too predictable and too self-conscious to reach a level of high drama .",9,2
neg,"pryor lite , with half the demons , half the daring , much less talent , many fewer laughs .",7,2
neg,newcomer helmer kevin donovan is hamstrung by a badly handled screenplay of what is really an amusing concept  a high-tech tux that transforms its wearer into a superman .,6,3
pos,"it dares to be a little different , and that shading is what makes it worthwhile .",2,3
neg,the 50-something lovebirds are too immature and unappealing to care about .,3,1
neg,"truth to tell , if you've seen more than half-a-dozen horror films , there's nothing here you haven't seen before .",1,2
pos,"the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another .",6,3
neg,screenwriters scott abbott and michael petroni have turned rice's complex akasha into a cartoon monster .,1,2
neg,"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do . besides , real movie producers aren't this nice .",4,7
pos,"the movie is our story as much as it is schmidt's , no matter if it's viewed as a self-reflection or cautionary tale .",3,0
neg,"must-see viewing for anyone involved in the high-tech industry . others may find it migraine-inducing , despite moore's attempts at whimsy and spoon feeding .",4,1
neg,plays like a volatile and overlong w magazine fashion spread .,3,2
pos,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences .",13,2
neg,there is not an ounce of honesty in the entire production .,2,1
neg,nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows .,4,5
pos," "" its successes are also tempered with elements which prove the direct antithesis of what it gets right . """,4,3
neg,"in the end , there isn't much to it .",0,1
pos,"demonstrates the unusual power of thoughtful , subjective filmmaking .",2,2
neg,unwieldy contraption .,1,1
neg,"an infuriating film . just when you think you are making sense of it , something happens that tells you there is no sense .",2,1
pos,an edifying glimpse into the wit and revolutionary spirit of these performers and their era .,5,0
neg,kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,3,2
neg,"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie .",3,2
pos,"lohman adapts to the changes required of her , but the actress and director peter kosminsky never get the audience to break through the wall her character erect",6,3
pos,"with a romantic comedy plotline straight from the ages , this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell .",7,1
pos,"comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride .",5,0
pos,"a superlative b movie -- funny , sexy , and rousing .",3,1
pos,features what is surely the funniest and most accurate depiction of writer's block ever .,4,2
neg,"some fine acting , but ultimately a movie with no reason for being .",5,0
neg, . . . too contrived to be as naturally charming as it needs to be .,2,2
neg,devoid of any of the qualities that made the first film so special .,1,2
pos,"while the path may be familiar , first-time director denzel washington and a top-notch cast manage to keep things interesting .",5,2
neg,"a feature-length , r-rated , road-trip version of mama's family .",2,0
pos,writer and director otar iosseliani's pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls .,10,2
pos,"merely as a technical , logistical feat , russian ark marks a cinematic milestone .",5,1
neg,barely gets off the ground .,0,1
pos,atom egoyan has conjured up a multilayered work that tackles any number of fascinating issue,3,3
neg,the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .,6,0
pos,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,3,3
neg,"this wretchedly unfunny wannabe comedy is inane and awful - no doubt , it's the worst movie i've seen this summer .",1,8
pos,"with we were soldiers , hollywood makes a valiant attempt to tell a story about the vietnam war before the pathology set in .",2,3
pos,"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended .",5,2
pos,"a breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat .",4,1
pos,"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future .",10,1
pos,deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .,7,3
neg,"when the first few villians are introduced as "" spider "" and "" snake "" you know you're in for a real winner , creativity at its peak .",4,1
pos, a thought-provoking look at how western foreign policy - however well intentioned - can wreak havoc in other cultures .,3,2
neg,"tambor and clayburgh make an appealing couple  he's understated and sardonic , she's appealingly manic and energetic . both deserve better .",4,6
pos,a very capable nailbiter .,2,0
neg,the film seems all but destined to pop up on a television screen in the background of a scene in a future quentin tarantino pictur,0,0
neg,the movie is so thoughtlessly assembled .,2,0
pos,"while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind .",6,3
neg,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining .",6,3
neg,the ill-conceived modern-day ending falls flat where it should deliver a moral punch .,3,4
pos," . . . brian de palma is utterly mad : cinema mad , set-piece mad , style mad . it's a beautiful madness .",2,4
pos,"an intelligent , moving and invigorating film .",2,0
pos,life on the rez is no picnic : this picture shows you why .,2,1
pos,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .",6,1
neg,"no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest 'tron' anderson , seems entirely improvised .",7,5
pos," . . . a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role .",7,3
pos,"you have to pay attention to follow all the stories , but they're each interesting . the movie is well shot and very tragic , and one to ponder after the credits roll .",4,1
neg,"hypnotically dull , relentlessly downbeat , laughably predictable wail pitched to the cadence of a depressed fifteen-year-old's suicidal poetry .",4,6
pos,"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two .",3,3
neg,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",7,2
pos,"austin powers for the most part is extremely funny , the first part making up for any flaws that come later .",4,2
neg,the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary .,2,5
neg,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects .",8,4
neg,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,5,0
neg,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence .",4,5
neg,"the period -- swinging london in the time of the mods and the rockers -- gets the once-over once again in gangster no . 1 , but falls apart long before the end .",5,4
neg,"it's tough , astringent , darkly funny and . . . well , it's also generic , untidy , condescending and mild of impact rather than stunning .",8,3
neg,[t]oo many of these gross out scenes . . .,0,1
neg,"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",3,4
pos,"mr . tsai is a very original artist in his medium , and what time is it there ? should be seen at the very least for its spasms of absurdist humor .",4,5
neg,flaccid drama and exasperatingly slow journey .,2,3
neg,i can't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops .,7,2
pos,"after making several adaptations of other writers' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject .",5,2
pos,"the film is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy .",5,5
pos,an enjoyable feel-good family comedy regardless of race .,2,1
neg,"bad in such a bizarre way that it's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",4,4
pos,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together .",3,0
pos,a difficult but worthy film that bites off more than it can chew by linking the massacre of armenians in 1915 with some difficult relationships in the present .,5,4
neg,the movie fails to live up to the sum of its parts .,1,1
pos,"as gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting .",1,5
pos,this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers .,4,2
neg,every sequel you skip will be two hours gained . consider this review life-affirming .,3,1
pos,"the enjoyable undercover brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",8,5
neg,"at the very least , if you don't know anything about derrida when you walk into the theater , you won't know much more when you leave .",0,2
neg,"sad nonsense , this . but not without cheesy fun factor .",2,3
pos,blithely anachronistic and slyly achronological .,0,2
neg,"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",4,3
neg,it all drags on so interminably it's like watching a miserable relationship unfold in real time .,4,1
neg,too clunky and too busy ribbing itself to be truly entertaining .,2,2
pos,"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will .",7,3
pos,what bubbles up out of john c . walsh's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .,8,1
neg,"while super troopers is above academy standards , its quintet of writers could still use some more schooling .",5,1
neg,"it's mildly amusing , but i certainly can't recommend it .",3,0
pos,its director's most substantial feature for some time .,1,0
neg,it bites hard .,0,2
pos,"vividly conveys the passion , creativity , and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all .",7,3
pos,judith and zaza's extended bedroom sequence . . . is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,8,2
pos,i don't think most of the people who loved the 1989 paradiso will prefer this new version . but i do .,5,1
neg,"for most movies , 84 minutes is short , but this one feels like a life sentence .",1,2
neg,has all the depth of a wading pool .,1,1
pos,it's an often-cute film but either needs more substance to fill the time or some judicious editing .,4,1
neg,"there's just no currency in deriding james bond for being a clichéd , doddering , misogynistic boy's club .",2,2
pos,"tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .",7,7
neg,"apart from dazzling cinematography , we've seen just about everything in blue crush in one form or the other .",2,2
pos,"holy mad maniac in a mask , splat-man ! good old-fashioned slash-and-hack is back !",2,3
neg,"the new faces are interesting , but the old story isn't , especially when it starts to seem more improvised than scripted .",3,2
neg,"half of it is composed of snappy patter and pseudo-sophisticated cultural observations , while the remainder . . . would be more at home on a daytime television serial .",5,4
pos,"if no one singles out any of these performances as award-worthy , it's only because we would expect nothing less from this bunch .",4,2
pos,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",5,0
neg,"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",4,6
neg,one of the more glaring signs of this movie's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms . spears .,5,3
neg,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,5,2
neg,"it is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b . s . one another and put on a show in drag .",2,6
pos,"with lesser talents , high crimes would be entertaining , but forgettable . with freeman and judd , i'll at least remember their characters .",8,4
neg,labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .,3,3
neg,rainy days and movies about the disintegration of families always get me down .,1,3
pos,"performances all around are tops , with the two leads delivering oscar-caliber performances .",7,0
pos,it's a stunning lyrical work of considerable force and truth .,5,0
neg,why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ?,6,2
neg,"the furious coherence that [deniro] brings to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the end , less like a movie than like the filmed reading of a script in need of polishing .",7,10
pos,a rarity among recent iranian films : it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight .,5,2
pos,a journey that is as difficult for the audience to take as it is for the protagonist -- yet it's potentially just as rewarding .,3,2
neg,"solaris "" is a shapeless inconsequential move relying on the viewer to do most of the work .",3,1
neg,"if welles was unhappy at the prospect of the human race splitting in two , he probably wouldn't be too crazy with his great-grandson's movie splitting up in pretty much the same way .",6,2
neg,"occasionally interesting but essentially unpersuasive , a footnote to a still evolving story .",4,1
pos,a solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,3,2
pos,a pleasurably jacked-up piece of action moviemaking .,2,0
pos,a sentimental but entirely irresistible portrait of three aging sisters .,3,2
pos,"full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",5,0
pos,intelligent and moving .,1,0
pos,"en sí mismo el rey león es un espectáculo digno de contemplarse en cine , dvd o en su soberbio montaje teatral ; pero el hacerlo en la pantalla imax es una experiencia colosal .",0,0
pos,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",6,2
neg,"the charms of willful eccentricity , at least as evidenced by this latest cinematic essay , are beginning to wear a bit thin .",4,6
pos,"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",3,1
pos,"too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than pink floyd tickets .",3,2
neg,"sluggish , tonally uneven .",1,2
neg,"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them .",3,2
neg,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",4,6
pos,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,4,1
neg, . . . surprisingly inert for a movie in which the main character travels back and forth between epochs .,6,0
neg,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,4,4
pos,the movie is not as terrible as the synergistic impulse that created it .,1,3
pos,"you'll laugh at either the obviousness of it all or its stupidity or maybe even its inventiveness , but the point is , you'll laugh .",4,2
pos,"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few continental divides .",6,3
pos,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .",8,2
neg,drowning's too good for this sucker .,1,1
pos,"there's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one .",8,4
neg,amazingly dopey .,2,0
pos,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",3,1
neg,"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",1,4
pos,"it's funny , touching , dramatically forceful , and beautifully shot .",4,0
neg,"cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",4,3
pos,collateral damage finally delivers the goods for schwarzenegger fans .,4,1
neg,"well before it's over , beijing bicycle begins spinning its wheels .",0,1
neg,it's exactly what you'd expect .,2,1
pos,"for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped .",12,0
pos,"the long-range appeal of "" minority report "" should transcend any awards it bags . this is one for the ages .",2,2
neg,"unless you are in dire need of a diesel fix , there is no real reason to see it . wait for video -- and then don't rent it .",5,4
neg,"twenty years later , reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task .",7,5
pos,"a taut , sobering film .",1,1
neg," . . . an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you'll wonder if lopez's publicist should share screenwriting credit .",4,4
pos,malcolm mcdowell is cool . paul bettany is cool . paul bettany playing malcolm mcdowell ? cool .,5,0
neg,the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,5,4
pos,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,4,1
pos,"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical .",4,2
neg,"if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell .",9,5
neg,don't let your festive spirit go this far .,1,0
neg,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing .",3,2
pos,a comedy that swings and jostles to the rhythms of life .,3,0
neg,"elicits more groans from the audience than jar jar binks , scrappy doo and scooby dumb , all wrapped up into one .",1,3
pos,"if you're looking for something new and hoping for something entertaining , you're in luck .",4,0
neg,nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks .,6,8
neg,"gee , a second assassin shot kennedy ? moot point .",3,2
pos,"even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man .",6,2
neg,"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible . suffice to say its total promise is left slightly unfulfilled .",7,3
pos,"[lawrence bounces] all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",6,5
neg,"with danilo donati's witty designs and dante spinotti's luscious cinematography , this might have made a decent children's movie -- if only benigni hadn't insisted on casting himself in the title role .",8,2
neg,an uneven mix of dark satire and childhood awakening .,2,2
pos,"cineasts will revel in those visual in-jokes , as in the film's verbal pokes at everything from the likes of miramax chief harvey weinstein's bluff personal style to the stylistic rigors of denmark's dogma movement .",8,5
pos,"grenier is terrific , bringing an unforced , rapid-fire delivery to toback's heidegger- and nietzsche-referencing dialogue .",5,0
neg,"it's not a bad premise , just a bad movie .",0,3
pos,it's a glorious groove that leaves you wanting more .,2,0
neg,"contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing .",4,1
pos,"as literary desecrations go , this makes for perfectly acceptable , occasionally very enjoyable children's entertainment . you'll forget about it by monday , though , and if they're old enough to have developed some taste , so will your kids .",7,4
pos,"it's a smartly directed , grown-up film of ideas .",2,0
neg,"the film takes too long getting to the good stuff , then takes too long figuring out what to do next .",3,2
neg,"at no point during k-19 : the widowmaker did this viewer feel enveloped in a story that , though meant to be universal in its themes of loyalty , courage and dedication to a common goal , never seems to leave the lot .",4,3
neg,"if you enjoy being rewarded by a script that assumes you aren't very bright , then blood work is for you .",5,2
neg,"boy oh boy , it's a howler .",0,1
pos,"the emperor's club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .",5,1
pos,a compelling film .,1,0
pos,"[grant's] bumbling magic takes over the film , and it turns out to be another winning star vehicle .",3,0
pos,rarely does such high-profile talent serve such literate material .,5,0
pos,"a much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian english title would have you believe .",6,0
pos,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels authentic .",6,2
neg,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,4,3
neg,"with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is . he fails .",8,2
pos,for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .,7,2
pos,"vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores .",5,3
neg,"although disney follows its standard formula in this animated adventure , it feels more forced than usual .",3,3
neg,"circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets .",5,5
pos,it's a satisfying summer blockbuster and worth a look .,4,1
neg,the piquant story needs more dramatic meat on its bones .,1,3
pos,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,3,3
neg,it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .,4,3
neg,"this time mr . burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",3,1
pos,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .",9,4
neg,"philosophically , intellectually and logistically a mess .",3,1
neg,"as the latest bid in the tv-to-movie franchise game , i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .",5,2
pos,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .,4,4
